company,domain,amount_raised,is_funding_signal,headline,tc_link
Flutterwave,techcrunch.com,$3.2B,YES,"Payments startup Flutterwave hits $3.2B valuation, backed by Ripple",https://techcrunch.com/2026/06/16/payments-startup-flutterwave-hits-3-2b-valuation-backed-by-ripple/
Probably,techcrunch.com,$9M,YES,Probably raises $9M to build a more reliable kind of AI,https://techcrunch.com/2026/06/16/probably-raises-9m-to-build-a-more-reliable-kind-of-ai/
This,techcrunch.com,$22M,YES,"This startup's super metals could soon be in military drones, luxury watches, and chef’s knives",https://techcrunch.com/2026/06/16/this-startups-super-metals-could-soon-be-in-military-drones-luxury-watches-and-chefs-knives/
Unknown,techcrunch.com,$62.5M,YES,"Malaysia's AI agent-powered messaging app Respond.io raises $62.5M, eyes acquisitions",https://techcrunch.com/2026/06/15/malaysias-respond-io-raises-62-5m-eyes-acquisitions-in-north-america-and-europe/
Sarvam,techcrunch.com,$234M,YES,Sarvam becomes India's newest AI unicorn with $234 million funding round led by HCLTech,https://techcrunch.com/2026/06/15/sarvam-becomes-indias-newest-ai-unicorn-with-234-million-funding-round-led-by-hcltech/
NewCore,techcrunch.com,$66M,,"As AI agents become employees, NewCore emerges with $66M to give them identities",https://techcrunch.com/2026/06/15/ai-agents-are-becoming-employees-newcore-emerges-with-66m-to-give-them-identities/
Orbio,techcrunch.com,$21M,YES,Orbio raises $21 million to automate hiring and onboarding for frontline workers,https://techcrunch.com/2026/06/14/orbio-raises-21-million-to-automate-hiring-and-onboarding-for-frontline-workers/
Multiple (analysis),techcrunch.com,,YES,"As AI companies race to go public, who else is along for the ride?",https://techcrunch.com/2026/06/14/as-ai-companies-race-to-go-public-who-else-is-along-for-the-ride/
Multiple (analysis),techcrunch.com,,,"As Anthropic suspends access to new models, India debates its AI future",https://techcrunch.com/2026/06/13/as-anthropic-suspends-access-to-new-models-india-debates-its-ai-future/
Andrew Yang,techcrunch.com,,,Andrew Yang thinks the next big startup opportunity is lowering the cost of living,https://techcrunch.com/2026/06/12/andrew-yang-thinks-the-next-big-startup-opportunity-is-lowering-the-cost-of-living/
Unknown,techcrunch.com,,YES,"It’s hot IPO summer, and the MANGOS are ripe",https://techcrunch.com/podcast/its-hot-ipo-summer-and-the-mangos-are-ripe/
Theker,techcrunch.com,$85M,YES,Theker just raised $85M to build the factory robot that doesn't specialize in anything,https://techcrunch.com/2026/06/11/theker-just-raised-85m-to-build-the-factory-robot-that-doesnt-specialize-in-anything/
Bluesky,techcrunch.com,,,"Bluesky launches group chats, as company shifts focus to community features",https://techcrunch.com/2026/06/11/bluesky-launches-group-chats-as-company-shifts-focus-to-community-features/
Quantum Space,techcrunch.com,$1.2B,YES,Quantum Space's military SPAC is trying to catch SpaceX's IPO wave,https://techcrunch.com/2026/06/11/quantum-spaces-military-spac-is-trying-to-catch-spacexs-ipo-wave/
Microsoft,techcrunch.com,,,Microsoft taps Alt Carbon in sign of India’s growing role in carbon removal,https://techcrunch.com/2026/06/11/microsoft-taps-alt-carbon-in-sign-of-indias-growing-rile-in-carbon-removal/
Opendoor,techcrunch.com,,,Opendoor's India exit is fueling a bigger conversation about AI and outsourcing,https://techcrunch.com/2026/06/10/opendoors-india-exit-is-fueling-a-bigger-conversation-about-ai-and-outsourcing/
Andrew Yang / Noble Mobile,techcrunch.com,,,Why Andrew Yang is building instead of waiting for Washington,https://techcrunch.com/video/why-andrew-yang-is-building-instead-of-waiting-for-washington/
Andrew Yang,techcrunch.com,,,"Andrew Yang on Noble Mobile, UBI, and why he's done waiting for policy to catch up",https://techcrunch.com/podcast/andrew-yang-on-noble-mobile-ubi-and-why-hes-done-waiting-for-policy-to-catch-up/
